"","link","synopsis","summaries"
"1","http://www.imdb.com/title/tt0034583/plotsummary?ref_=tt_stry_pl#synopsis","In the early years of World War II, December 1941, the Moroccan coastal city of Casablanca attracts people from all over the world, particularly Nazi-occupied Europe. Many are transients trying to get out of Europe; a few are just trying to make a buck. Most of them -- gamblers and refugees, Nazis, resistance fighters, and plain old crooks -- find their way to Rick's Café Américain, a swank nightclub owned by American expatriate Rick Blaine (Humphrey Bogart). Though we learn later that Rick once harbored enough idealism to put himself at risk to fight fascism, he's now embittered and cynical, professing to be neutral and detached: ""I stick my neck out for nobody.""Ugarte (Peter Lorre) comes to Rick's with letters of transit he obtained by killing two German couriers. The papers allow the bearer to travel freely around German-controlled Europe, including to neutral Lisbon, Portugal; from Lisbon, it's relatively easy to get to the United States. They are almost priceless to any of the refugees stranded in Casablanca. Ugarte plans to make his fortune by selling them to the highest bidder, who is due to arrive at the club later that night. However, before the exchange can take place, Ugarte is arrested by the police under the command of Captain Louis Renault (Claude Rains). A corrupt Vichy official, Renault accommodates the Nazis. Unknown to Renault and the Nazis, Ugarte had left the letters with Rick for safekeeping, because ""...somehow, just because you despise me, you're the only one I trust.""Then the reason for Rick's bitterness re-enters his life. Ilsa Lund (Ingrid Bergman) arrives with her husband Victor Laszlo (Paul Henreid) to purchase the letters. Laszlo is a renowned Czech Resistance leader who has escaped from a Nazi concentration camp. They must have the letters to escape to America to continue his work. At the time Ilsa first met and fell in love with Rick in Paris, she believed her husband had been killed. When she discovered that he was still alive, she left Rick abruptly without explanation and returned to Laszlo, leaving Rick feeling betrayed. After the club closes, Ilsa returns to try to explain, but Rick is drunk and bitterly refuses to listen.At different times Rick and Ilsa torment themselves by asking the club's piano player, Sam (Arthur ""Dooley"" Wilson), to play As Time Goes By, a song they loved when they were together in Paris. The famous line ""Play it again, Sam,"" which refers to this song, doesn't actually appear in the movie -- Ilsa says ""Play it, Sam,"" and later, Rick orders ""Play it!"" While Sam plays the song, Rick reminisces about his affair with Ilsa in Paris. Though she seems happy to be with Rick, her mood near the end of their time together is cautious because she has learned her husband may not be dead. When the Nazis begin to close in on Paris, she receives word that Victor is indeed alive in another part of Europe. She and Rick had been planning to take a train to Southern France to escape the German Army's assault; however, on the platform Rick receives a handwritten letter from her. She writes that she can't explain why she's leaving him but she loves him. Rick and Sam leave without her.The next night, Laszlo, suspecting that Rick has the letters, speaks with him privately about obtaining them. They're interrupted when a group of Nazi officers, led by Major Strasser (Conrad Veidt), commandeer Sam's piano and begin to sing Die Wacht am Rhein (The Watch on the Rhine), a German patriotic song. Infuriated, Laszlo orders the house band to play La Marseillaise in honor of Occupied France. The band leader looks to Rick for guidance; he nods. Laszlo starts singing, alone at first, then long-suppressed patriotic fervor grips the crowd and everyone joins in, drowning out the Germans. In retaliation, Strasser orders Renault to close the club.Later that night, Ilsa confronts Rick in the deserted cafe. He refuses to give her the documents, even when threatened with a gun. She is unable to shoot, confessing that she still loves him. Rick decides to help Laszlo, leading her to believe that she will stay behind when Laszlo leaves.Laszlo is jailed on a minor charge. Rick convinces Renault to release Laszlo, promising to set him up for a much more serious crime: possession of the letters of transit. However, Rick double crosses Renault, forcing him at gunpoint to assist in the escape. At the last moment, Rick makes Ilsa get on the plane to Lisbon with her husband, telling her that she would regret it if she stayed: ""Maybe not today. Maybe not tomorrow, but soon and for the rest of your life.""Major Strasser drives up, tipped off by Renault, but Rick shoots him when he tries to intervene. When his men arrive, Renault informs them that Strasser is dead and covers for Rick by sharply ordering them to ""round up the usual suspects."" He then recommends that they both leave Casablanca. Renault, suggesting they join the Resistance, walks into the fog with Rick who says ""Louis, I think this is the beginning of a beautiful friendship.""","
    
                    The story of Rick Blaine, a cynical world-weary ex-patriate who runs a nightclub in Casablanca, Morocco during the early stages of WWII. Despite the pressure he constantly receives from the local authorities, Rick's cafe has become a kind of haven for refugees seeking to obtain illicit letters that will help them escape to America. But when Ilsa, a former lover of Rick's, and her husband, show up to his cafe one day, Rick faces a tough challenge which will bring up unforeseen complications, heartbreak and ultimately an excruciating decision to make.
                        
                            —Kyle Perez
                        
                
                
                    In World War II Casablanca, Rick Blaine, exiled American and former freedom fighter, runs the most popular nightspot in town. The cynical lone wolf Blaine comes into the possession of two valuable letters of transit. When Nazi Major Strasser arrives in Casablanca, the sycophantic police Captain Renault does what he can to please him, including detaining a Czechoslovak underground leader Victor Laszlo. Much to Rick's surprise, Lazslo arrives with Ilsa, Rick's one time love. Rick is very bitter towards Ilsa, who ran out on him in Paris, but when he learns she had good reason to, they plan to run off together again using the letters of transit. Well, that was their original plan....
                        
                            —Gary Jackson 
                        
                
                
                    During World War II, Europeans who were fleeing from the Germans, sought refuge in America. But to get there they would first have to go Casablanca and once they get there, they have to obtain exit visas which are not very easy to come by. Now the hottest spot in all of Casablanca is Rick's Cafe which is operated by Rick Blaine, an American expatriate, who for some reason can't return there, and he is also extremely cynical. Now it seems that two German couriers were killed and the documents they were carrying were taken. Now one of Rick's regulars, Ugarte entrusts to him some letters of transit, which he intends to sell but before he does he is arrested for killing the couriers. Captain Renault, the Chief of Police, who is neutral in his political views, informs Rick that Victor Laszlo, a resistance leader from Czechoslovakia, is in Casablanca and will do anything to get an exit visa but Renault has been ""told"" by Major Strasser of the Gestapo, to keep Laszlo in Casablanca. Laszlo goes to Rick's to meet Ugarte, because he was the one Ugarte was going to sell the letters to. But since Ugarte was arrested he has to find another way. Accompanying him is Ilsa Lund, who knew Rick when he was in Paris, and when they meet some of Rick's old wounds reopen. It is obvious that Rick's stone heart was because of her leaving him. And when they learn that Rick has the letters, he refuses to give them to him, because ""he doesn't stick his neck out for anyone"".
                        
                            —rcs0411@yahoo.com
                        
                
                
                    Rick Blaine, who owns a nightclub in Casablanca, Morocco, discovers his old flame Ilsa is in town with her husband, Victor Laszlo. Laszlo is a resistance leader from Czechoslovakia, and with Germans on his tail, Ilsa knows Rick can help them get out of the country - but will he?
                        
                            —Anonymous
                        
                
                
                    In Casablanca in December 1941, a cynical American expatriate encounters a former lover, with unforeseen complications.
                        
                            —Carl Schultz
                        
                
    Spoilers
    
            
            The synopsis below may give away important plot points.
    
    Synopsis
    In the early years of World War II, December 1941, the Moroccan coastal city of Casablanca attracts people from all over the world, particularly Nazi-occupied Europe. Many are transients trying to get out of Europe; a few are just trying to make a buck. Most of them -- gamblers and refugees, Nazis, resistance fighters, and plain old crooks -- find their way to Rick's Café Américain, a swank nightclub owned by American expatriate Rick Blaine (Humphrey Bogart). Though we learn later that Rick once harbored enough idealism to put himself at risk to fight fascism, he's now embittered and cynical, professing to be neutral and detached: ""I stick my neck out for nobody.""Ugarte (Peter Lorre) comes to Rick's with letters of transit he obtained by killing two German couriers. The papers allow the bearer to travel freely around German-controlled Europe, including to neutral Lisbon, Portugal; from Lisbon, it's relatively easy to get to the United States. They are almost priceless to any of the refugees stranded in Casablanca. Ugarte plans to make his fortune by selling them to the highest bidder, who is due to arrive at the club later that night. However, before the exchange can take place, Ugarte is arrested by the police under the command of Captain Louis Renault (Claude Rains). A corrupt Vichy official, Renault accommodates the Nazis. Unknown to Renault and the Nazis, Ugarte had left the letters with Rick for safekeeping, because ""...somehow, just because you despise me, you're the only one I trust.""Then the reason for Rick's bitterness re-enters his life. Ilsa Lund (Ingrid Bergman) arrives with her husband Victor Laszlo (Paul Henreid) to purchase the letters. Laszlo is a renowned Czech Resistance leader who has escaped from a Nazi concentration camp. They must have the letters to escape to America to continue his work. At the time Ilsa first met and fell in love with Rick in Paris, she believed her husband had been killed. When she discovered that he was still alive, she left Rick abruptly without explanation and returned to Laszlo, leaving Rick feeling betrayed. After the club closes, Ilsa returns to try to explain, but Rick is drunk and bitterly refuses to listen.At different times Rick and Ilsa torment themselves by asking the club's piano player, Sam (Arthur ""Dooley"" Wilson), to play As Time Goes By, a song they loved when they were together in Paris. The famous line ""Play it again, Sam,"" which refers to this song, doesn't actually appear in the movie -- Ilsa says ""Play it, Sam,"" and later, Rick orders ""Play it!"" While Sam plays the song, Rick reminisces about his affair with Ilsa in Paris. Though she seems happy to be with Rick, her mood near the end of their time together is cautious because she has learned her husband may not be dead. When the Nazis begin to close in on Paris, she receives word that Victor is indeed alive in another part of Europe. She and Rick had been planning to take a train to Southern France to escape the German Army's assault; however, on the platform Rick receives a handwritten letter from her. She writes that she can't explain why she's leaving him but she loves him. Rick and Sam leave without her.The next night, Laszlo, suspecting that Rick has the letters, speaks with him privately about obtaining them. They're interrupted when a group of Nazi officers, led by Major Strasser (Conrad Veidt), commandeer Sam's piano and begin to sing Die Wacht am Rhein (The Watch on the Rhine), a German patriotic song. Infuriated, Laszlo orders the house band to play La Marseillaise in honor of Occupied France. The band leader looks to Rick for guidance; he nods. Laszlo starts singing, alone at first, then long-suppressed patriotic fervor grips the crowd and everyone joins in, drowning out the Germans. In retaliation, Strasser orders Renault to close the club.Later that night, Ilsa confronts Rick in the deserted cafe. He refuses to give her the documents, even when threatened with a gun. She is unable to shoot, confessing that she still loves him. Rick decides to help Laszlo, leading her to believe that she will stay behind when Laszlo leaves.Laszlo is jailed on a minor charge. Rick convinces Renault to release Laszlo, promising to set him up for a much more serious crime: possession of the letters of transit. However, Rick double crosses Renault, forcing him at gunpoint to assist in the escape. At the last moment, Rick makes Ilsa get on the plane to Lisbon with her husband, telling her that she would regret it if she stayed: ""Maybe not today. Maybe not tomorrow, but soon and for the rest of your life.""Major Strasser drives up, tipped off by Renault, but Rick shoots him when he tries to intervene. When his men arrive, Renault informs them that Strasser is dead and covers for Rick by sharply ordering them to ""round up the usual suspects."" He then recommends that they both leave Casablanca. Renault, suggesting they join the Resistance, walks into the fog with Rick who says ""Louis, I think this is the beginning of a beautiful friendship.""
    
        See also"
"2","http://www.imdb.com/title/tt0034587/plotsummary?ref_=tt_stry_pl#synopsis","While sketching a panther at the zoo, Serbian fashion artist Irena Dubrovna [Simone Simon] meets American Oliver Reed [Kent Smith]. She invites him to her apartment for tea. A few months later, they are married.Irena is a strange and lonely woman with no friends. She has a fascination with panthers, but animals don't seem to like her very much. When Oliver brings her a Siamese kitten as a gift, for example, the cat hisses at Irena, so they return to the pet store and exchange it for a bird. While in the pet store, Irena's presence sets all the animals to caterwauling. Several weeks later, the bird dies in fear when Irena reaches for it in its cage.Irena is haunted by a tale from her country that tells how the people of her village were witches, devil worshippers, and, under strong emotions like jealousy or anger, could change into panthers. She refers to them as the 'cat people.' Oliver takes it as a folktale, but Irena takes it for real, so real that she refuses to sleep with her husband because she believes that she might kill him.Oliver suggests that Irena see a psychiatrist, so she goes to see Dr Louis Judd [Tom Conway], who was recommended to Oliver by his co-worker, Alice Moore [Jane Randolph]. When Irena returns home after the first session, she finds Oliver and Alice seated on the couch, talking about her. Irena gets angry when Oliver reveals that he has told Alice about her problem.About a week later, Oliver runs into Dr Judd and learns that Irena has stopped seeing him. Concerned about Irena's belief in these folktales, Oliver again confides in Alice. Alice lets on that she's secretly in love with Oliver, and Oliver admits that he isn't so sure anymore that he really loves Irena. When Oliver gets home from work that evening, he and Irena quarrel about her not keeping her appointments with Dr Judd, so Oliver goes back to the office, stopping first at the snack shop around the corner. Irena calls the office, but when Alice answers the phone, she hangs up. When Alice learns from the cleaning lady that Oliver is in the snack shop, she decides to join him. Irena walks down to the office, passing the snack shop along the way and sees Oliver and Alice in there together. When they leave the shop, Irena follows Alice, scaring her badly.One afternoon, Oliver, Irena, and Alice go to the museum. Oliver and Alice are interested in seeing the scale models of boats, and they suggest that Irena look at some other displays on the next floor rather than being bored by boats. They plan to meet in about an hour, but Irena does not show. After leaving the museum, Alice goes to the gymnasium for a late swim. Irena follows her. The place is empty, save for the desk clerk and cleaning lady. As Alice gets into her swimsuit, she hears what sounds like a growl. Scared, Alice dives into the deep end of the pool and treads water in place. The growling gets louder. It's in the pool room with her. Alice starts to scream. Suddenly the light goes on, revealing Irena standing there. Irena asks if Alice knows where Oliver is, and then leaves. When Alice gets out of the water, she finds that her robe has been torn to ribbons.Alice goes to see Dr Judd. She tells him about being followed twice by something inhuman, which she believes may be Irena's cat form. Judd thinks it's all in her imagination. Irena consults Dr Judd, too. She tells him about the incidents with Alice, but he tells her that she is on the border of insanity and he could have her put away. He advises her to forget all this cat people stuff and lead a normal life. When Oliver comes home that evening, Irena is setting the table for a romantic dinner. She tells him that she's no longer afraid, but Oliver says that it's too late. 'I love Alice,' he admits. Irena tells him to leave. The next afternoon, Oliver and Alice have lunch with Dr Judd to discuss how to proceed with Irena. Dr Judd recommends an annulment so that they can marry, but Oliver and Alice opt to have Irena committed to a mental hospital where she can get the help she needs. They arrange for a meeting with Irena at 6 pm at her apartment.It is now 7:30 pm, and Irena hasn't shown, so the three of them leave, Oliver and Alice intending to return to the office. Dr Judd walks out with them but then asks for the key to the apartment so that he can retrieve his cane, which he conveniently 'forgot'. What he really does is to leave the door unlocked. Oliver and Alice are working when the telephone rings. Alice answers, but the caller hangs up. Alice is scared and wants to leave. They turn out the lights and go to the door, but it is locked. Then they hear a growl and see a panther in the room with them. Oliver grabs a cross and tries talking to Irena, pleading with her to leave them alone. Oliver and Alice manage to get out of the building but not before smelling Irena's perfume.Dr Judd has gone back to Irena's apartment. When she comes in, he tries to kiss her. Irena turns into a panther and kills him, but not before he stabs her with his cane. Irena goes to the zoo and unlocks the panther's cage with a key she stole from the zookeeper several days ago. The panther leaps at her, knocking her over and killing her. Oliver and Alice find Irena lying dead on the ground outside the panther's cage.'She never lied to us,' Oliver says to Alice.[Original synopsis by bj_kuehl.]","
    
                    Serbian national Irena Dubrovna, a fashion sketch artist, has recently arrived in New York for work. The first person who she makes a personal connection with there is marine engineer Oliver Reed. The two fall in love and get married despite Irena's reservations, not about Oliver but about herself. She has always felt different than other people, but has never been sure why. She lives close to the zoo, and unlike many of her neighbors is comforted by the sounds of the big cats emanating from the zoo. And although many see it purely as an old wives' tale, she believes the story from her village of ancient residents being driven into witchcraft and evil doing, those who managed to survive by escaping into the mountains. After seeing her emotional pain, Oliver arranges for her to see a psychiatrist to understand why she believes what she does. In therapy, Dr. Judd, the psychiatrist, learns that she also believes, out of that villagers' tale, that she has descended from this evil - women who change into great cats like panthers in passion, anger or jealousy - and that she will turn into a such a dangerous big cat upon being kissed in turn killing her lover and others who have betrayed her. This belief is why she has resisted falling in love before she met Oliver. Learning this information from Irena, Oliver wants to do whatever needed to help her as does Dr. Judd. But Irena's beliefs may be tested when Oliver's friendship with a co-worker named Alice Moore may become more than just friends...
                        
                            —Huggo
                        
                
                
                    Irena Dubrovna, a beautiful and mysterious Serbian-born fashion artist living in New York City, falls in love with and marries average-Joe American Oliver Reed. Their marriage suffers though, as Irena believes that she suffers from an ancient curse- whenever emotionally aroused, she will turn into a panther and kill. Oliver thinks that is absurd and childish, so he sends her to psychiatrist Dr. Judd to cure her. Easier said than done...
                        
                            —Ken Yousten 
                        
                
                
                    When naval construction designer Oliver Reed sees Serbian born beauty Irena Dubrovna at a zoo, he flirts with her, and soon they fall in love and marry. Complications arise because Irena believes she is the victim of an ancient Serbian curse that causes her to turn into a panther if a man tries to make love to her, and the marriage is not consummated. Oliver sends Irena for treatment with psychiatrist Dr. Louis Judd, and Oliver seeks ""consolation"" with his colleague Alice Moore. Irena becomes jealous when she learns that she may be losing Oliver to Alice.
                        
                            —Claudio Carvalho, Rio de Janeiro, Brazil
                        
                
                
                    An American man marries a Serbian immigrant who fears that she will turn into the cat person of her homeland's fables if they are intimate together.
                        
                            —Shannon Patrick Sullivan 
                        
                
    Spoilers
    
            
            The synopsis below may give away important plot points.
    
    Synopsis
    While sketching a panther at the zoo, Serbian fashion artist Irena Dubrovna [Simone Simon] meets American Oliver Reed [Kent Smith]. She invites him to her apartment for tea. A few months later, they are married.Irena is a strange and lonely woman with no friends. She has a fascination with panthers, but animals don't seem to like her very much. When Oliver brings her a Siamese kitten as a gift, for example, the cat hisses at Irena, so they return to the pet store and exchange it for a bird. While in the pet store, Irena's presence sets all the animals to caterwauling. Several weeks later, the bird dies in fear when Irena reaches for it in its cage.Irena is haunted by a tale from her country that tells how the people of her village were witches, devil worshippers, and, under strong emotions like jealousy or anger, could change into panthers. She refers to them as the 'cat people.' Oliver takes it as a folktale, but Irena takes it for real, so real that she refuses to sleep with her husband because she believes that she might kill him.Oliver suggests that Irena see a psychiatrist, so she goes to see Dr Louis Judd [Tom Conway], who was recommended to Oliver by his co-worker, Alice Moore [Jane Randolph]. When Irena returns home after the first session, she finds Oliver and Alice seated on the couch, talking about her. Irena gets angry when Oliver reveals that he has told Alice about her problem.About a week later, Oliver runs into Dr Judd and learns that Irena has stopped seeing him. Concerned about Irena's belief in these folktales, Oliver again confides in Alice. Alice lets on that she's secretly in love with Oliver, and Oliver admits that he isn't so sure anymore that he really loves Irena. When Oliver gets home from work that evening, he and Irena quarrel about her not keeping her appointments with Dr Judd, so Oliver goes back to the office, stopping first at the snack shop around the corner. Irena calls the office, but when Alice answers the phone, she hangs up. When Alice learns from the cleaning lady that Oliver is in the snack shop, she decides to join him. Irena walks down to the office, passing the snack shop along the way and sees Oliver and Alice in there together. When they leave the shop, Irena follows Alice, scaring her badly.One afternoon, Oliver, Irena, and Alice go to the museum. Oliver and Alice are interested in seeing the scale models of boats, and they suggest that Irena look at some other displays on the next floor rather than being bored by boats. They plan to meet in about an hour, but Irena does not show. After leaving the museum, Alice goes to the gymnasium for a late swim. Irena follows her. The place is empty, save for the desk clerk and cleaning lady. As Alice gets into her swimsuit, she hears what sounds like a growl. Scared, Alice dives into the deep end of the pool and treads water in place. The growling gets louder. It's in the pool room with her. Alice starts to scream. Suddenly the light goes on, revealing Irena standing there. Irena asks if Alice knows where Oliver is, and then leaves. When Alice gets out of the water, she finds that her robe has been torn to ribbons.Alice goes to see Dr Judd. She tells him about being followed twice by something inhuman, which she believes may be Irena's cat form. Judd thinks it's all in her imagination. Irena consults Dr Judd, too. She tells him about the incidents with Alice, but he tells her that she is on the border of insanity and he could have her put away. He advises her to forget all this cat people stuff and lead a normal life. When Oliver comes home that evening, Irena is setting the table for a romantic dinner. She tells him that she's no longer afraid, but Oliver says that it's too late. 'I love Alice,' he admits. Irena tells him to leave. The next afternoon, Oliver and Alice have lunch with Dr Judd to discuss how to proceed with Irena. Dr Judd recommends an annulment so that they can marry, but Oliver and Alice opt to have Irena committed to a mental hospital where she can get the help she needs. They arrange for a meeting with Irena at 6 pm at her apartment.It is now 7:30 pm, and Irena hasn't shown, so the three of them leave, Oliver and Alice intending to return to the office. Dr Judd walks out with them but then asks for the key to the apartment so that he can retrieve his cane, which he conveniently 'forgot'. What he really does is to leave the door unlocked. Oliver and Alice are working when the telephone rings. Alice answers, but the caller hangs up. Alice is scared and wants to leave. They turn out the lights and go to the door, but it is locked. Then they hear a growl and see a panther in the room with them. Oliver grabs a cross and tries talking to Irena, pleading with her to leave them alone. Oliver and Alice manage to get out of the building but not before smelling Irena's perfume.Dr Judd has gone back to Irena's apartment. When she comes in, he tries to kiss her. Irena turns into a panther and kills him, but not before he stabs her with his cane. Irena goes to the zoo and unlocks the panther's cage with a key she stole from the zookeeper several days ago. The panther leaps at her, knocking her over and killing her. Oliver and Alice find Irena lying dead on the ground outside the panther's cage.'She never lied to us,' Oliver says to Alice.
[Original synopsis by bj_kuehl.]
    
        See also"
