"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"butch cassidy and the sundance kid",1969,"pg",110,"biography, crime, drama",8.1,"58","two western bank/train robbers flee to bolivia when the law gets too close.","george roy hill","paul newman, robert redford, katharine ross, strother martin",167696,NA
"2",2,"easy rider",1969,"r",95,"adventure, drama",7.4,"86","two counterculture bikers travel from los angeles to new orleans in search of america.","dennis hopper","peter fonda, dennis hopper, jack nicholson, antonio mendoza",81305,NA
"3",3,"midnight cowboy",1969,"r",113,"drama",7.9,"79","a naive hustler travels from texas to new york to seek personal fortune but, in the process, finds himself a new friend.","john schlesinger","dustin hoffman, jon voight, sylvia miles, john mcgiver",82765,NA
"4",4,"ittefaq",1969,NA,104,"crime, mystery, thriller",7.5,NA,"taking place almost entirely over the course of one stormy night, a woman is terrified when an accused murderer escapes from a mental hospital and seeks refuge in her home.","yash chopra","rajesh khanna, nanda, sujit kumar, bindu",597,NA
"5",5,"on her majesty's secret service",1969,"pg",142,"action, adventure, thriller",6.8,"61","james bond woos a mob boss's daughter and goes undercover to uncover the true reason for blofeld's allergy research in the swiss alps that involves beautiful women from around the world.","peter r. hunt","george lazenby, diana rigg, telly savalas, gabriele ferzetti",65345,NA
"6",6,"the italian job",1969,"g",99,"action, comedy, crime",7.4,NA,"comic caper movie about a plan to steal a gold shipment from the streets of turin by creating a traffic jam.","peter collinson","michael caine, noël coward, benny hill, raf vallone",33750,NA
"7",7,"true grit",1969,"g",128,"adventure, drama, western",7.4,NA,"a drunken, hard-nosed u.s. marshal and a texas ranger help a stubborn teenager track down her father's murderer in indian territory.","henry hathaway","john wayne, kim darby, glen campbell, jeremy slate",35920,NA
"8",8,"mosquito squadron",1969,"g",90,"war, drama",5.6,NA,"in ww2, a raf squadron leader mourns the death of a comrade and receives a bombing mission against a secret nazi v-2 rocket testing facility in france.","boris sagal","david mccallum, suzanne neve, charles gray, david buck",1017,NA
"9",9,"hello, dolly!",1969,"g",146,"adventure, comedy, musical",7.2,NA,"matchmaker dolly levi travels to yonkers to find a partner for ""half-a-millionaire"" horace vandergelder, convincing his niece, his niece's intended, and his two clerks to travel to new york city along the way.","gene kelly","barbra streisand, walter matthau, michael crawford, marianne mcandrew",10996,NA
"10",10,"the wild bunch",1969,"r",135,"action, adventure, western",8,NA,"an aging group of outlaws look for one last big score as the ""traditional"" american west is disappearing around them.","sam peckinpah","william holden, ernest borgnine, robert ryan, edmond o'brien",67209,NA
"11",11,"the undefeated",1969,"g",119,"western",6.7,NA,"after the civil war, ex-union colonel john henry thomas and ex-confederate colonel james langdon are leading two disparate groups of people through strife-torn mexico. john henry and ...                see full summary »","andrew v. mclaglen","john wayne, rock hudson, antonio aguilar, roman gabriel",4691,NA
"12",12,"paint your wagon",1969,"pg-13",158,"comedy, drama, musical",6.7,NA,"two unlikely prospector partners share the same wife in a california gold rush mining town.","joshua logan","lee marvin, clint eastwood, jean seberg, harve presnell",10051,NA
"13",13,"battle of britain",1969,"g",132,"action, drama, history",7,NA,"in 1940, the british royal air force fights a desperate battle to prevent the luftwaffe from gaining air superiority over the english channel as a prelude to a possible axis invasion of the uk.","guy hamilton","michael caine, trevor howard, harry andrews, curd jürgens",17413,NA
"14",14,"death of a gunfighter",1969,"m",100,"western",6.4,NA,"a texas town's council fires the town's old-fashioned marshal who refuses to resign, thus leading to violence from both sides.","don siegel, robert totten","richard widmark, lena horne, carroll o'connor, david opatoshu",852,NA
"15",15,"age of consent",1969,"r",98,"biography, comedy, drama",6.5,NA,"an elderly artist thinks he has become too stale and is past his prime. his friend (and agent) persuades him to go to an off-shore island to try once more. on the island he rediscovers his ...                see full summary »","michael powell","james mason, helen mirren, jack macgowran, neva carr-glynn",1947,NA
"16",16,"fellini - satyricon",1969,"r",129,"drama, fantasy, history",7,NA,"a series of disjointed mythical tales set in first century rome.","federico fellini","martin potter, hiram keller, max born, salvo randone",12579,NA
"17",17,"they shoot horses, don't they?",1969,"m/pg",129,"drama",7.9,NA,"the lives of a disparate group of contestants intertwine in an inhumanely grueling dance marathon.","sydney pollack","jane fonda, michael sarrazin, susannah york, gig young",13281,NA
"18",18,"kes",1969,"pg-13",111,"drama, family",7.9,NA,"a young, english working-class boy spends his free time caring for and training his pet falcon.","ken loach","david bradley, brian glover, freddie fletcher, lynne perrie",14672,NA
"19",19,"la piscine",1969,"gp",120,"crime, drama, romance",7,NA,"lovers marianne and jean-paul spend their vacation in a villa on the french riviera near st-tropez. marianne invites her former lover, harry, and his teenage daughter to stay. tension rises between them, especially when jean-paul seduces penelope.","jacques deray","alain delon, romy schneider, maurice ronet, jane birkin",5509,NA
"20",20,"the damned",1969,"r",156,"drama, war",7.6,NA,"the dramatic collapse of a wealthy, industrialist/junker family during the reign of the third reich.","luchino visconti","dirk bogarde, ingrid thulin, helmut griem, helmut berger",6067,NA
"21",21,"the bridge at remagen",1969,"r",115,"action, drama, war",6.7,NA,"as the allied armies close in, the germans decide to blow up the last rhine bridge, trapping their own men on the wrong side. but will it happen?","john guillermin","george segal, robert vaughn, ben gazzara, bradford dillman",7129,NA
"22",22,"women in love",1969,"r",131,"drama, romance",7.5,NA,"two best friends fall in love with a pair of women, but the relationships soon go in very different directions.","ken russell","alan bates, oliver reed, glenda jackson, jennie linden",5584,NA
"23",23,"the prime of miss jean brodie",1969,"pg",116,"drama, romance",7.6,NA,"a headstrong young teacher in a private school in 1930s edinburgh ignores the curriculum and influences her impressionable 12 year old charges with her over-romanticized world view.","ronald neame","maggie smith, gordon jackson, robert stephens, pamela franklin",7203,NA
"24",24,"winning",1969,"m",123,"action, drama, sport",6,NA,"frank capua is a rising star on the race circuit who dreams of winning the big one--the indianapolis 500. but to get there he runs the risk of losing his wife elora to his rival, luther ...                see full summary »","james goldstone","paul newman, joanne woodward, robert wagner, richard thomas",1452,NA
"25",25,"z",1969,"pg",127,"crime, drama, history",8.2,NA,"following the murder of a prominent leftist, an investigator tries to uncover the truth while government officials attempt to cover up their roles.","costa-gavras","yves montand, irene papas, jean-louis trintignant, françois périer",19398,NA
"26",26,"anne of the thousand days",1969,"pg",145,"biography, drama, history",7.6,NA,"henry viii of england discards one wife, katharine of aragon, who has failed to produce a male heir, in favor of the young and beautiful anne boleyn.","charles jarrott","richard burton, geneviève bujold, irene papas, anthony quayle",5658,NA
"27",27,"army of shadows",1969,"not rated",145,"drama, war",8.2,"99","an account of underground resistance fighters in nazi-occupied france.","jean-pierre melville","lino ventura, paul meurisse, jean-pierre cassel, simone signoret",16156,NA
"28",28,"marquis de sade's justine",1969,"r",90,"drama, horror",5.3,NA,"without a family, penniless and separated from her sister, a beautiful chaste woman will have to cope with an endless parade of villains, perverts and degenerates who will claim not only her treasured virtue but also her life.","jesús franco","klaus kinski, romina power, maria rohm, rosemary dexter",1191,NA
"29",29,"play dirty",1969,"m",118,"adventure, drama, war",6.8,NA,"during the desert war in north africa, a group of british commandos disguised in italian soldiers must travel behind enemy lines and destroy a vital nazi oil depot.","andré de toth","michael caine, nigel davenport, nigel green, harry andrews",2427,NA
"30",30,"topaz",1969,"pg",143,"drama, thriller",6.3,NA,"a french intelligence agent becomes embroiled in the cold war politics first with uncovering the events leading up to the 1962 cuban missile crisis, and then back to france to break up an international russian spy ring.","alfred hitchcock","frederick stafford, dany robin, john vernon, karin dor",13842,NA
"31",31,"bob & carol & ted & alice",1969,"r",105,"comedy, drama, romance",6.7,NA,"documentary film-maker bob sanders and his wife carol attend a group therapy session that serves as the backdrop for the opening scenes of the film. returning to their los angeles home, the...                see full summary »","paul mazursky","natalie wood, robert culp, elliott gould, dyan cannon",4279,NA
"32",32,"mackenna's gold",1969,"m",128,"action, adventure, romance",6.8,NA,"a bandit kidnaps a marshal who has seen a map showing a gold vein on indian lands, but other groups are looking for it too, while the apache try to keep the secret location undisturbed.","j. lee thompson","gregory peck, omar sharif, telly savalas, camilla sparv",6548,NA
