"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"saw ii",2005,"r",93,"horror, mystery",6.6,"40","a detective and his team must rescue 8 people trapped in a factory by the twisted serial killer known as jigsaw.","darren lynn bousman","donnie wahlberg, beverley mitchell, franky g, emmanuelle vaugier",203290,NA
"2",2,"charlie and the chocolate factory",2005,"pg",115,"adventure, comedy, family",6.7,"72","a young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.","tim burton","johnny depp, freddie highmore, david kelly, helena bonham carter",353219,NA
"3",3,"corpse bride",2005,"pg",77,"animation, drama, family",7.4,"83","when a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.","tim burton, mike johnson","johnny depp, helena bonham carter, emily watson, tracey ullman",207036,NA
"4",4,"v for vendetta",2005,"r",132,"action, drama, thriller",8.2,"62","in a future british tyranny, a shadowy freedom fighter, known only by the alias of ""v"", plots to overthrow it with the help of a young woman.","james mcteigue","hugo weaving, natalie portman, rupert graves, stephen rea",872755,NA
"5",5,"hostel",2005,"r",94,"horror, mystery, thriller",5.9,"55","three backpackers head to a slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.","eli roth","jay hernandez, derek richardson, eythor gudjonsson, barbara nedeljakova",149033,NA
"6",6,"the descent",2005,"r",99,"adventure, horror, thriller",7.2,"71","a caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.","neil marshall","shauna macdonald, natalie mendoza, alex reid, saskia mulder",169471,NA
"7",7,"harry potter and the goblet of fire",2005,"pg-13",157,"adventure, family, fantasy",7.7,"81","a young wizard finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.","mike newell","daniel radcliffe, emma watson, rupert grint, eric sykes",432394,NA
"8",8,"star wars: episode iii - revenge of the sith",2005,"pg-13",140,"action, adventure, fantasy",7.6,"68","three years into the clone wars, the jedi rescue palpatine from count dooku. as obi-wan pursues a new threat, anakin acts as a double agent between the jedi council and palpatine and is lured into a sinister plan to rule the galaxy.","george lucas","hayden christensen, natalie portman, ewan mcgregor, samuel l. jackson",573886,NA
"9",9,"batman begins",2005,"pg-13",152,"action, adventure, thriller",8.3,"70","after training with his mentor, batman begins his fight to free crime-ridden gotham city from the corruption that scarecrow and the league of shadows have cast upon it.","christopher nolan","christian bale, michael caine, ken watanabe, liam neeson",1082,NA
"10",10,"rent",2005,"pg-13",135,"drama, musical, romance",7,"53","this is the film version of the pulitzer and tony award winning musical about bohemians in the east village of new york city struggling with life, love and aids, and the impacts they have on america.","chris columbus","taye diggs, wilson jermaine heredia, rosario dawson, anthony rapp",43844,NA
"11",11,"sin city",2005,"r",124,"crime, thriller",8,"74","a film that explores the dark and miserable town, basin city, and tells the story of three different people, all caught up in violent corruption.","frank miller, robert rodriguez, quentin tarantino","mickey rourke, clive owen, bruce willis, jessica alba",691605,NA
"12",12,"the devil's rejects",2005,"r",107,"crime, horror",6.9,"53","the murderous, backwoods firefly family take to the road to escape a vengeful police force which is not afraid of being as ruthless as their target.","rob zombie","sid haig, sheri moon zombie, bill moseley, william forsythe",81214,NA
"13",13,"the chronicles of narnia: the lion, the witch and the wardrobe",2005,"pg",143,"adventure, family, fantasy",6.9,"75","four kids travel through a wardrobe to the land of narnia and learn of their destiny to free it with the guidance of a mystical lion.","andrew adamson","tilda swinton, georgie henley, william moseley, skandar keynes",312497,NA
"14",14,"the amityville horror",2005,"r",90,"drama, horror, mystery",6,"33","newlyweds are terrorized by demonic forces after moving into a large house that was the site of a grisly mass murder a year before.","andrew douglas","ryan reynolds, melissa george, jimmy bennett, jesse james",92207,NA
"15",15,"constantine",2005,"r",121,"drama, fantasy, horror",6.9,"50","supernatural detective john constantine helps a policewoman prove her sister's death was not a suicide, but something more.","francis lawrence","keanu reeves, rachel weisz, djimon hounsou, shia labeouf",255248,NA
